t,x,y,yaw,v,w,dist,yaw_err
0.002,0.0,0.0,0.0,0.04,0.2335188690179485,1.4142135623730951,0.7853981633974483
0.10200000000000008,0.007653322243782269,3.615555109648242e-06,0.00047745305053071684,0.04,0.23451863639213255,1.4088096740712195,0.788760244432714
0.20200000000000015,0.014837877209753554,0.0010043153305719916,0.007824289352157001,0.04,0.23326551631147519,1.4030455395918993,0.7845457679586993
0.3020000000000002,0.02136407093269892,0.0008458625596409432,0.01140246306324724,0.03999999999999999,0.23321064729384883,1.3985840239419323,0.7843696387355941
0.4020000000000003,0.027981309733688252,0.0010100080253619454,0.01242460068609257,0.04,0.23389223732992398,1.39384408679469,0.7866567182766495
0.5020000000000003,0.035261470697163795,0.0020377064560879268,0.021263067918680774,0.04,0.2322275423096286,1.3880378846619514,0.7810610533510176
0.6020000000000004,0.043035392428468634,0.0022358919334042665,0.023684956667743392,0.04,0.23268144469060875,1.3825029748577267,0.7825823825714671
0.7020000000000005,0.05011532184019765,0.0026682768467523924,0.028356314570215115,0.04,0.2323293521997785,1.3772986124332578,0.7814036290797555
0.8020000000000006,0.05725654559890968,0.0033485269556803453,0.034838276715716,0.039999999999999494,0.2314200921731263,1.3718889822203226,0.7783490391525962
0.9020000000000007,0.06399576945203723,0.0035540318922805,0.03177975650058526,0.04,0.23336607327252906,1.3671168519778454,0.784885468673183
1.0020000000000007,0.06938219047492039,0.0021665201681153744,0.004032583950150148,0.04,0.2426785848751355,1.3644490319827507,0.8162062163088022
1.1020000000000008,0.07412866877529262,0.00039571435256573293,-0.02788911520448432,0.04,0.2531897100877499,1.3625147521654688,0.8515619496591169
1.2020000000000008,0.0790389589308041,-0.0013153274817276322,-0.05506989216315408,0.04,0.2623132787406336,1.3604417018810826,0.8822453637957466
1.302000000000001,0.08401741119298184,-0.003103369848001326,-0.08119203268718587,0.04,0.27114803349605765,1.3583962873911364,0.9119560671560754
1.402000000000001,0.08903245376926848,-0.004985379388438767,-0.10596326964638392,0.04,0.279601849827982,1.3564134631704907,0.940393158588261
1.5020000000000011,0.09386458083713231,-0.007052436838881246,-0.1328521677033869,0.0399999999999999,0.288686553322757,1.3547088279053159,0.970949587694629
1.6020000000000012,0.09859346510233716,-0.009180028302497006,-0.1596933001127977,0.04,0.2977505401923881,1.3531363828826863,1.0014403377340724
1.7020000000000013,0.10351009345251642,-0.010958604656568586,-0.18051205832198036,0.039999999999999786,0.3,1.3511963043431816,1.025849758153667
1.8020000000000014,0.1085731136660573,-0.012888050901743397,-0.20100573335660357,0.039999999999999855,0.3,1.3492902198335839,1.0500996938672742
1.9020000000000015,0.11339476881044498,-0.01506138150561284,-0.22422435357775772,0.039999999999999945,0.3,1.3477456897340714,1.0770693055195935
2.002000000000001,0.11830662412401186,-0.01728184954204072,-0.24527665369615162,0.04,0.3,1.3461967057125315,1.101954716015623
2.10199999999999,0.1233355502021977,-0.01955808825173535,-0.26494659614379434,0.04,0.3,1.3446335013150674,1.1255595991383025
2.201999999999979,0.12835737893718796,-0.021892427443885296,-0.2841544344448127,0.03999999999999992,0.3,1.34313997487991,1.1487355293860162
2.301999999999968,0.13342552948579084,-0.024326757119070737,-0.3031168604399786,0.03999999999999988,0.29999999999999993,1.341714059811946,1.1717493123984042
2.401999999999957,0.13763265650448908,-0.027520039310747018,-0.3330899294167017,0.039999999999999945,0.3,1.3414450664535853,1.205654244605748
2.501999999999946,0.14189291563108716,-0.030803930261691363,-0.36066715789415654,0.04,0.29999999999999993,1.3412324596754532,1.2372385221287558
2.601999999999935,0.1460075114552453,-0.034227897325066925,-0.38883765786523056,0.04,0.3,1.341242153414622,1.2694000283301543
2.701999999999924,0.15000105583763834,-0.037768873770585965,-0.41719543546218674,0.04,0.3,1.3414404349221771,1.3017341483207945
2.801999999999913,0.15386762769628,-0.04142426449982291,-0.44583067180968083,0.04,0.3,1.3418287857060296,1.3343248126953169
2.901999999999902,0.15761016470301867,-0.04518981796366585,-0.4746225783683736,0.039999999999999966,0.3,1.342401724591635,1.3670493506255328
